,Condition,Sample
KPC1/KPC1_S1_L001_sorted.bam,KPC,KPC1
KPC1/KPC1_S1_L002_sorted.bam,KPC,KPC1
KPC1/KPC1_S1_L003_sorted.bam,KPC,KPC1
KPC1/KPC1_S1_L004_sorted.bam,KPC,KPC1
KPC2/KPC2_S2_L001_sorted.bam,KPC,KPC2
KPC2/KPC2_S2_L002_sorted.bam,KPC,KPC2
KPC2/KPC2_S2_L003_sorted.bam,KPC,KPC2
KPC2/KPC2_S2_L004_sorted.bam,KPC,KPC2
KPC3/KPC3_S3_L001_sorted.bam,KPC,KPC3
KPC3/KPC3_S3_L002_sorted.bam,KPC,KPC3
KPC3/KPC3_S3_L003_sorted.bam,KPC,KPC3
KPC3/KPC3_S3_L004_sorted.bam,KPC,KPC3
KPCM4/KPCM4_S4_L001_sorted.bam,KPCM,KPCM4
KPCM4/KPCM4_S4_L002_sorted.bam,KPCM,KPCM4
KPCM4/KPCM4_S4_L003_sorted.bam,KPCM,KPCM4
KPCM4/KPCM4_S4_L004_sorted.bam,KPCM,KPCM4
KPCM5/KPCM5_S5_L001_sorted.bam,KPCM,KPCM5
KPCM5/KPCM5_S5_L002_sorted.bam,KPCM,KPCM5
KPCM5/KPCM5_S5_L003_sorted.bam,KPCM,KPCM5
KPCM5/KPCM5_S5_L004_sorted.bam,KPCM,KPCM5
KPCM6/KPCM6_S6_L001_sorted.bam,KPCM,KPCM6
KPCM6/KPCM6_S6_L002_sorted.bam,KPCM,KPCM6
KPCM6/KPCM6_S6_L003_sorted.bam,KPCM,KPCM6
KPCM6/KPCM6_S6_L004_sorted.bam,KPCM,KPCM6
KPCM8/KPCM8_S7_L001_sorted.bam,KPCM,KPCM8
KPCM8/KPCM8_S7_L002_sorted.bam,KPCM,KPCM8
KPCM8/KPCM8_S7_L003_sorted.bam,KPCM,KPCM8
KPCM8/KPCM8_S7_L004_sorted.bam,KPCM,KPCM8
KPCM9/KPCM9_S8_L001_sorted.bam,KPCM,KPCM9
KPCM9/KPCM9_S8_L002_sorted.bam,KPCM,KPCM9
KPCM9/KPCM9_S8_L004_sorted.bam,KPCM,KPCM9
